Black:	8587.165823532185
Gray:	10318.286281322635
White:	9539.067255662312
Cream:	6123.977515772095
Beige:	6950.396951900225
Orange:	5429.249636656088
Pink:	9095.696795831924
Hot-Pink:	9858.870553922861
Red:	11399.355599231807
Ruby-Red:	10491.000614639392
Chartreuse:	9080.800924769022
Olive-Green:	5153.869582273136
Green:	7536.600773835133
Camel:	6450.747251532271
Bronze:	7780.341227269652
Brown:	8210.154528822583
Turquoise-Blue:	10488.867014379768
Light-Blue:	5305.367188114192
Blue:	9356.842094924323
Navy:	5475.547159266761
Yellow:	9079.924410133195
Mustard:	9221.035959209219
Periwinkle:	4984.107174653333
Purple:	12044.011432357258
Gold:	8058.311897806941
Silver:	10880.56970575667
Top:	13641.33976896084
T-Shirt:	13984.921537136852
Blouse:	7714.071788696301
Shirt:	9652.182788697994
Cardigan:	4599.949419161622
Cape:	8169.944165741121
Blazer:	16994.97680395263
Sweatshirt:	9417.372681472816
Vest:	9866.192152000076
Sweater:	11448.907572813123
Jacket:	13163.299418154482
Dress:	13766.231662828543
Coat:	13841.734972431605
Skirt:	14645.810519602846
Pants:	20914.001809244037
Jeans:	25848.7983605611
Shorts:	15789.09510401449
Jumper:	5575.584011843784
Romper:	8033.820646262107
Stockings_Tights:	15982.127603261953
Leggings:	16771.10102387079
Socks:	11594.078190023376
Shoes:	7262.225262886771
Sandals:	9401.76593845966
Boots:	16651.11013814086
Pumps:	7087.089306670037
Flats:	4859.520505775987
Loafers:	6637.857021108991
Sneakers:	10202.689340969957
Hat:	12577.27165236089
Tie:	13261.405555911806
Necklace:	9721.78134523562
Glasses:	3376.962746759237
Sunglasses:	5501.39159332031
Scarf:	15013.25600033995
Watch_Bracelet:	16303.712498133096
Gloves:	8636.294489008491
Swimwear:	5533.9176589998615
Bag_Purse:	8819.891211828051
Belt:	16668.450604902395
